Time,EventStore Latency
2016-10-20 19:15:04,15.222
2016-10-20 19:15:19,3.389
2016-10-20 19:15:22,16.621
2016-10-20 19:15:39,7.918
2016-10-20 19:15:47,0.761
2016-10-20 19:15:47,4.777
2016-10-20 19:15:52,5.027
2016-10-20 19:15:57,4.325
2016-10-20 19:16:02,15.465
2016-10-20 19:16:17,0.964
2016-10-20 19:16:18,2.965
2016-10-20 19:16:21,11.95
2016-10-20 19:16:33,14.714
2016-10-20 19:16:48,3.501
2016-10-20 19:16:51,3.42
2016-10-20 19:16:55,4.365
2016-10-20 19:16:59,9.709
2016-10-20 19:17:09,4.679
2016-10-20 19:17:13,4.062
2016-10-20 19:17:17,3.989
2016-10-20 19:17:21,2.804
2016-10-20 19:17:24,0.094
2016-10-20 19:17:24,2.73
2016-10-20 19:17:27,1.363
2016-10-20 19:17:28,6.313
2016-10-20 19:17:35,10.022
2016-10-20 19:17:45,11.523
2016-10-20 19:17:56,13.669
2016-10-20 19:18:10,0.405
2016-10-20 19:18:10,3.333
2016-10-20 19:18:14,5.008
2016-10-20 19:18:19,11.489
2016-10-20 19:18:30,2.272
2016-10-20 19:18:33,0.388
2016-10-20 19:18:33,8.483
2016-10-20 19:18:41,2.608
2016-10-20 19:18:44,4.924
2016-10-20 19:18:49,4.842
2016-10-20 19:18:54,4.359
2016-10-20 19:18:58,14.048
2016-10-20 19:19:12,1.328
2016-10-20 19:19:14,3.796
2016-10-20 19:19:17,12.097
2016-10-20 19:19:29,0.15
2016-10-20 19:19:30,10.489
2016-10-20 19:19:40,9.176
2016-10-20 19:19:49,2.711
2016-10-20 19:19:52,0.635
2016-10-20 19:19:53,0.502
2016-10-20 19:19:53,1.924
2016-10-20 19:19:55,5.395
2016-10-20 19:20:00,4.557
2016-10-20 19:20:05,0.385
2016-10-20 19:20:05,7.025
2016-10-20 19:20:12,6.519
2016-10-20 19:20:19,5.439
2016-10-20 19:20:24,6.994
2016-10-20 19:20:31,2.241
2016-10-20 19:20:34,2.6
2016-10-20 19:20:36,11.885
2016-10-20 19:20:48,2.847
2016-10-20 19:20:51,1.466
2016-10-20 19:20:52,13.601
2016-10-20 19:21:06,3.905
2016-10-20 19:21:10,14.052
2016-10-20 19:21:24,0.023
2016-10-20 19:21:24,5.683
2016-10-20 19:21:30,3.844
2016-10-20 19:21:34,9.506
2016-10-20 19:21:43,5.586
2016-10-20 19:21:49,1.003
2016-10-20 19:21:50,11.353
2016-10-20 19:22:01,0.542
2016-10-20 19:22:02,0.109
2016-10-20 19:22:02,6.262
