"Time","Mule Latency"
1475181385443268934,200315580
1475181385543268934,100703320
1475181385643268934,59533382
1475181385743268934,103872276
1475181385843268934,40538399
1475181385943268934,106976507
1475181385343269204,745524755
1475181386043268934,78961981
1475181386143268934,122529055
1475181386243268934,54256389
1475181386343268934,91640057
1475181386443268934,49325821
1475181386543268934,144682274
1475181386643268934,45509315
1475181386743268934,33638465
1475181386843268934,39453609
1475181386943268934,136072106
1475181387143268934,43455096
1475181387243268934,49705070
1475181387343268934,34793531
1475181387043268934,374343092
1475181387443268934,87669662
1475181387543268934,106807264
1475181387643268934,53289509
1475181387743268934,90076452
1475181387843268934,100665738
1475181387943268934,91570940
1475181388043268934,36100500
1475181388143268934,82425229 
1475181388243268934,74543147
1475181388343268934,60824257
1475181388443268934,43145047
1475181388543268934,45422465
1475181388643268934,57260967
1475181388743268934,54264030
1475181388843268934,42352496
1475181388943268934,42517168
1475181389043268934,48433433
1475181389143268934,39906941
1475181389243268934,32125506
1475181389343268934,132432762
1475181389443268934,70119320
1475181389543268934,34176089
1475181389643268934,61538435
1475181389743268934,34796677
1475181389843268934,54511979
1475181389943268934,27881689
1475181390043268934,74522078
1475181390143268934,89193742
1475181390243268934,42992780
1475181390343268934,66064720
1475181390443268934,84645648
1475181390543268934,44214889
1475181390643268934,53794350
1475181390743268934,75921476
1475181390843268934,27412176
1475181391043268934,105512122
1475181391143268934,46058620
1475181391243268934,29997149
1475181390943268934,465405252
1475181391343268934,70857547
1475181391443268934,32653869
1475181391543268934,56115404
1475181391643268934,47836753
1475181391743268934,47045391
1475181391843268934,49825141
1475181391943268934,33503946
1475181392043268934,49381513
1475181392143268934,50610644
1475181392243268934,30265826
1475181392343268934,26488181
1475181392443268934,37032964
1475181392543268934,42865489
1475181392643268934,48504493
1475181392743268934,32330763
1475181392843268934,58757583
1475181392943268934,104183179
1475181393043268934,27018273
1475181393143268934,55734765
1475181393243268934,42945903
1475181393343268934,29781779
1475181393443268934,50348935
1475181393543268934,47598982
1475181393643268934,116744704
1475181393743268934,29408108
1475181393843268934,66171915
1475181393943268934,43577401
1475181394043268934,97863887
1475181394143268934,33167289
1475181394243268934,120207714
1475181394343268934,28360753
1475181394443268934,30525205
1475181394543268934,51491138
1475181394643268934,86607959
1475181394843268934,47155624
1475181394743268934,157828663
1475181394943268934,29947236
1475181395043268934,30994975
1475181395143268934,28784752
1475181395243268934,107126226
1475181395343268934,150845261
1475181395443268934,63848477
1475181395643268934,34009071
1475181395543268934,167672480
1475181395843268934,52385869
1475181395743268934,209224523
1475181395943268934,46207764
1475181396043268934,45881867
1475181396143268934,31796421
1475181396243268934,28833382
1475181396343268934,45173999
1475181396443268934,29435240
1475181396543268934,33536702
1475181396643268934,35419520
1475181396743268934,91861228
1475181396843268934,29075219
1475181396943268934,54788862
1475181397043268934,58361349
1475181397143268934,61399893
1475181397243268934,42294431
1475181397343268934,70774361
1475181397443268934,42998983
1475181397543268934,26373030
1475181397643268934,144947920
1475181397743268934,65621093
1475181397843268934,51572906
1475181397943268934,48481966
1475181398043268934,28931158
1475181398243268934,35848800
1475181398143268934,148588828
1475181398343268934,34287915
1475181398443268934,41718021
1475181398643268934,28436481
1475181398543268934,143872228
1475181398743268934,50856493
1475181398843268934,74383377
1475181398943268934,28311125
1475181399043268934,30893159
1475181399143268934,28271738
1475181399243268934,27221149
1475181399343268934,57440890
1475181399543268934,84113241
1475181399443268934,203842447
1475181399643268934,66507083
1475181399743268934,44259806
1475181399843268934,32503043
1475181399943268934,46247995
1475181400043268934,62725677
1475181400143268934,28964767
1475181400243268934,42434221
1475181400343268934,27091096
1475181400443268934,28852621
1475181400543268934,88817882
1475181400643268934,26015512
1475181400743268934,85658802
1475181400843268934,81903955
1475181400943268934,103882448
1475181401043268934,26766516
1475181401143268934,30434539
1475181401243268934,95329716
1475181401343268934,76910128
1475181401443268934,47250633
1475181401643268934,27892504
1475181401543268934,143223988
1475181401843268934,37441428
1475181401943268934,36519277
1475181402043268934,47769936
1475181401743268934,379005093
1475181402143268934,64893342
1475181402243268934,30779098
1475181402343268934,28058634
1475181402543268934,53266511
1475181402643268934,87948906
1475181402743268934,33047227
1475181402443268934,386311796
1475181402843268934,51343511
1475181402943268934,62956927
1475181403043268934,44970117
1475181403143268934,30150396
1475181403243268934,73135685
1475181403343268934,43662135
1475181403443268934,67466780
1475181403543268934,30249748
1475181403643268934,30117534
1475181403743268934,184082548
1475181403943268934,49311184
1475181404043268934,44713705
1475181404143268934,51478749
1475181404243268934,94473014
1475181404443268934,102167809
1475181404543268934,99733791
1475181403843268934,829670918
1475181404643268934,35961495
1475181404743268934,72340177
1475181404343268934,503918095
1475181404843268934,48688264
1475181405043268934,30054353
1475181405143268934,44197033
1475181404943268934,258989671
1475181405243268934,37753880
1475181405343268934,62990595
1475181405443268934,30967805
1475181405543268934,71969306
1475181405643268934,153827808
1475181405743268934,101781389
1475181405843268934,120520814
1475181405943268934,40989523
1475181406043268934,40593849
1475181406143268934,154953864
1475181406243268934,60739273
1475181406343268934,29321863
1475181406443268934,84728920
1475181406543268934,33191185
1475181406743268934,56910668
1475181406843268934,40547482
1475181406643268934,300636807
1475181406943268934,28984825
1475181407043268934,29974893
1475181407143268934,35123600
1475181407243268934,34418469
1475181407343268934,38148914
1475181407443268934,32638327
1475181407543268934,31452861
1475181407643268934,52632257
1475181407743268934,31553636
1475181407943268934,28612485
1475181408043268934,63744649
1475181407843268934,285613242
1475181408143268934,60586838
1475181408243268934,97668121
1475181408343268934,41255154
1475181408443268934,34417777
1475181408543268934,55851715
1475181408643268934,73536105
1475181408843268934,46890620
1475181408743268934,150447700
1475181408943268934,112324147
1475181409043268934,28391714
1475181409143268934,52979373
1475181409243268934,33559758
1475181409343268934,46244025
1475181409443268934,43002000
1475181409543268934,118271561
1475181409643268934,36455320
1475181409743268934,33197580
1475181409843268934,29475287
1475181409943268934,44629888
1475181410043268934,102312530
1475181410143268934,32646020
1475181410243268934,77087308
1475181410343268934,311556995
1475181410543268934,127082591
1475181410443268934,259327528
1475181410643268934,89355113
1475181410743268934,28791475
