Elapsed_Time,Status Code,Latency,Bytes_Out,Bytes_In
1475430485880761915,200,280676813,39,382,""
1475430486130761776,200,220653529,39,382,""
1475430486630761776,200,69855831,39,382,""
1475430486380761776,200,434399963,39,382,""
1475430486824846243,200,86003706,39,382,""
1475430486874846152,200,71014346,39,382,""
1475430486924846152,200,82588449,39,382,""
1475430486974846152,200,68178758,39,382,""
1475430487024846152,200,126808564,39,382,""
1475430487074846152,200,160756070,39,382,""
1475430487174846152,200,82573974,39,382,""
1475430487224846152,200,71976387,39,382,""
1475430487124846152,200,211471283,39,382,""
1475430487324846152,200,83802864,39,382,""
1475430487274846152,200,133826919,39,382,""
1475430487374846152,200,106998004,39,382,""
1475430487424846152,200,61974738,39,382,""
1475430487474846152,200,78542183,39,382,""
1475430487524846152,200,99334850,39,382,""
1475430487574846152,200,89128781,39,382,""
1475430487624846152,200,63246511,39,382,""
1475430487674846152,200,92317036,39,382,""
1475430487724846152,200,78234179,39,382,""
1475430487774846152,200,72422644,39,382,""
1475430487856627229,200,59407709,39,382,""
1475430487869127105,200,64089001,39,382,""
1475430487881627105,200,84667356,39,382,""
1475430487919127105,200,65844823,39,382,""
1475430487931627105,200,73222905,39,382,""
1475430487969127105,200,73757358,39,382,""
1475430487981627105,200,83934721,39,382,""
1475430488006627105,200,82314307,39,382,""
1475430488038813412,200,70206588,39,382,""
1475430487894127105,200,245345539,39,382,""
1475430488019127105,200,120453410,39,382,""
1475430487906627105,200,232994414,39,382,""
1475430488044127105,200,106173522,39,382,""
1475430488058715525,200,113592363,39,382,""
1475430487956627105,200,225166766,39,382,""
1475430488094127105,200,107335346,39,382,""
1475430488069127105,200,150191993,39,382,""
1475430487944127105,200,285092031,39,382,""
1475430487994127105,200,235882353,39,382,""
1475430488106627105,200,149429248,39,382,""
1475430488081627105,200,189507411,39,382,""
1475430488119127105,200,182021116,39,382,""
1475430488131627105,200,191417365,39,382,""
1475430488156627105,200,171623242,39,382,""
1475430488169127105,200,166221788,39,382,""
1475430488194127105,200,144128745,39,382,""
1475430488206627105,200,132989031,39,382,""
1475430488181627105,200,162050022,39,382,""
1475430488231627105,200,150719994,39,382,""
1475430488244127105,200,144435086,39,382,""
1475430488219127105,200,174896137,39,382,""
1475430488269127105,200,130731393,39,382,""
1475430488256627105,200,179776738,39,382,""
1475430488281627105,200,155939034,39,382,""
1475430488294127105,200,143537988,39,382,""
1475430488144127105,200,331989737,39,382,""
1475430488331627105,200,178991790,39,382,""
1475430488306627105,200,204030467,39,382,""
1475430488319127105,200,192449797,39,382,""
1475430488381627105,200,190424535,39,382,""
1475430488394127105,200,193901426,39,382,""
1475430488406627105,200,203691398,39,382,""
1475430488431627105,200,184758196,39,382,""
1475430488419127105,200,220596004,39,382,""
1475430488356627105,200,283102602,39,382,""
1475430488444127105,200,240652781,39,382,""
1475430488469127105,200,254188642,39,382,""
1475430488456627105,200,281633077,39,382,""
1475430488506627105,200,259752230,39,382,""
1475430488369127105,200,434075353,39,382,""
1475430488531627105,200,289053226,39,382,""
1475430488556627105,200,290765951,39,382,""
1475430488519127105,200,334948244,39,382,""
1475430488569127105,200,298848884,39,382,""
1475430488494127105,200,379675478,39,382,""
1475430488594127105,200,315690579,39,382,""
1475430488619127105,200,309299871,39,382,""
1475430488608257789,200,320189045,39,382,""
1475430488631627105,200,297045563,39,382,""
1475430488644127105,200,320223886,39,382,""
1475430488656627105,200,340035194,39,382,""
1475430488669127105,200,337492205,39,382,""
1475430488581627105,200,471883511,39,382,""
1475430488694127105,200,359478749,39,382,""
1475430488706627105,200,370549034,39,382,""
1475430488719127105,200,366104146,39,382,""
1475430488344127105,200,745761278,39,382,""
1475430488731627105,200,377983734,39,382,""
1475430488744127105,200,367296948,39,382,""
1475430488544127105,200,599739512,39,382,""
1475430488756627105,200,387277273,39,382,""
1475430488769127105,200,381049668,39,382,""
1475430488781627105,200,377269257,39,382,""
1475430488794127105,200,383570867,39,382,""
1475430488806627105,200,379098816,39,382,""
1475430488819127105,200,384990719,39,382,""
1475430488831627105,200,380632578,39,382,""
1475430488844127105,200,375698468,39,382,""
1475430488481627105,200,839948101,39,382,""
1475430488683337198,200,1648583400,39,382,""
1475430490351563104,200,79110895,39,382,""
1475430490361563104,200,74018786,39,382,""
1475430490366563104,200,73174107,39,382,""
1475430490371563104,200,68182838,39,382,""
1475430490341563184,200,111359976,39,382,""
1475430490356563104,200,103347364,39,382,""
1475430490381563104,200,115763207,39,382,""
1475430490396563104,200,104285086,39,382,""
1475430490391563104,200,119970207,39,382,""
1475430490401563104,200,111968783,39,382,""
1475430490406563104,200,111078301,39,382,""
1475430490346563104,200,186377536,39,382,""
1475430490376563104,200,189270291,39,382,""
1475430490386563104,200,181823234,39,382,""
1475430490416563104,200,152066735,39,382,""
1475430490426563104,200,149023397,39,382,""
1475430490436563104,200,165243565,39,382,""
1475430490431563104,200,181656403,39,382,""
1475430490411563104,200,219417354,39,382,""
1475430490451563104,200,179477636,39,382,""
1475430490441563104,200,197722194,39,382,""
1475430490446563104,200,201911069,39,382,""
1475430490421563104,200,228077270,39,382,""
1475430490461563104,200,205744101,39,382,""
1475430490466563104,200,215715277,39,382,""
1475430490456563104,200,230592805,39,382,""
1475430490471822527,200,227253689,39,382,""
1475430490481563104,200,217595259,39,382,""
1475430490476563104,200,231817307,39,382,""
1475430490486563104,200,233055620,39,382,""
1475430490491563104,200,232272886,39,382,""
1475430490501563104,200,228063185,39,382,""
1475430490511563104,200,244254480,39,382,""
1475430490506563104,200,263589788,39,382,""
1475430490521563104,200,250081763,39,382,""
1475430490516563104,200,269736698,39,382,""
1475430490526563104,200,269550505,39,382,""
1475430490531757461,200,265338994,39,382,""
