Time,EventStore Latency
2016-10-20 18:49:45,17.337
2016-10-20 18:50:04,18.243
2016-10-20 18:50:22,13.163
2016-10-20 18:50:38,12.499
2016-10-20 18:50:39,15.512
2016-10-20 18:50:41,3.364
2016-10-20 18:50:44,5.386
2016-10-20 18:50:56,4.693
2016-10-20 18:51:00,14.344
2016-10-20 18:51:14,7.796
2016-10-20 18:51:17,7.189
2016-10-20 18:51:24,4.952
2016-10-20 18:51:27,2.232
2016-10-20 18:51:29,1.092
2016-10-20 18:51:32,1.529
2016-10-20 18:51:35,0.502
2016-10-20 18:51:40,6.342
2016-10-20 18:51:48,5.581
2016-10-20 18:51:55,2.34
2016-10-20 18:51:59,1.611
2016-10-20 18:52:04,3.153
2016-10-20 18:52:06,9.256
2016-10-20 18:52:09,0.924
2016-10-20 18:52:10,4.17
2016-10-20 18:52:23,1.668
2016-10-20 18:52:26,6.682
2016-10-20 18:52:27,0.404
2016-10-20 18:52:31,10.773
2016-10-20 18:52:38,0.548
2016-10-20 18:52:43,2.608
2016-10-20 18:52:43,4.251
2016-10-20 18:52:45,3.322
2016-10-20 18:52:46,4.092
2016-10-20 18:52:48,5.999
2016-10-20 18:52:48,7.106
2016-10-20 18:52:48,5.365
2016-10-20 18:52:49,15.024
2016-10-20 18:52:55,0.48
2016-10-20 18:52:56,1.144
2016-10-20 18:53:00,1.187
2016-10-20 18:53:03,2.798
2016-10-20 18:53:04,0.586
2016-10-20 18:53:07,4.711
2016-10-20 18:53:14,1.527
2016-10-20 18:53:17,1.696
2016-10-20 18:53:18,9.35
2016-10-20 18:53:22,0.11
2016-10-20 18:53:24,5.92
2016-10-20 18:53:30,2.435
2016-10-20 18:53:31,4.403
2016-10-20 18:53:31,4.424
2016-10-20 18:53:39,8.692
2016-10-20 18:53:41,9.277
2016-10-20 18:53:42,4.908
2016-10-20 18:53:45,8.757
2016-10-20 18:53:49,1.607
2016-10-20 18:53:52,0.989
2016-10-20 18:53:56,4.574
2016-10-20 18:53:56,1.025
2016-10-20 18:54:02,2.634
2016-10-20 18:54:09,14.703
2016-10-20 18:54:12,0.704
2016-10-20 18:54:15,18.66
2016-10-20 18:54:28,13.774
2016-10-20 18:54:30,8.991
2016-10-20 18:54:30,0.436
2016-10-20 18:54:31,5.574
2016-10-20 18:54:33,4.951
2016-10-20 18:54:35,3.386
2016-10-20 18:54:36,4.509
2016-10-20 18:54:41,3.086
2016-10-20 18:54:42,9.617
2016-10-20 18:54:44,1.483
2016-10-20 18:54:45,1.128
2016-10-20 18:54:53,0.107
2016-10-20 18:54:53,18.507
2016-10-20 18:54:53,18.115
2016-10-20 18:54:54,17.651
2016-10-20 18:54:59,1.282
2016-10-20 18:55:02,3.035
2016-10-20 18:55:06,16.569
2016-10-20 18:55:10,17.17
2016-10-20 18:55:11,6.678
2016-10-20 18:55:19,4.71
2016-10-20 18:55:28,3.403
2016-10-20 18:55:29,2.647
2016-10-20 18:55:33,13.097
2016-10-20 18:55:42,18.084
2016-10-20 18:55:44,4.124
2016-10-20 18:55:45,15.941
2016-10-20 18:55:47,0.503
2016-10-20 18:55:49,16.59
2016-10-20 18:55:50,4.56
2016-10-20 18:55:52,1.624
2016-10-20 18:55:53,6.453
2016-10-20 18:56:07,18.433
2016-10-20 18:56:08,16.37
2016-10-20 18:56:08,8.47
2016-10-20 18:56:09,17.299
2016-10-20 18:56:22,15.447
2016-10-20 18:56:25,16.146
2016-10-20 18:56:27,16.795
2016-10-20 18:56:41,7.664
2016-10-20 18:56:41,1.351
2016-10-20 18:56:50,16.253
2016-10-20 18:56:50,18.081
2016-10-20 18:56:56,18.577
2016-10-20 18:56:56,5.503
2016-10-20 18:57:01,14.712
2016-10-20 18:57:04,1.172
2016-10-20 18:57:09,13.687
2016-10-20 18:57:12,3.37
2016-10-20 18:57:12,15.292
2016-10-20 18:57:14,15.56
2016-10-20 18:57:22,15.413
2016-10-20 18:57:23,2.623
2016-10-20 18:57:24,15.424
2016-10-20 18:57:30,6.482
2016-10-20 18:57:36,1.951
2016-10-20 18:57:38,14.802
2016-10-20 18:57:53,17.818
2016-10-20 18:58:11,15.268
2016-10-20 18:58:26,15.06
2016-10-20 18:58:41,7.106
2016-10-20 18:58:48,15.076
2016-10-20 18:59:03,17
2016-10-20 18:59:20,16.254
2016-10-20 18:59:37,6.192
2016-10-20 18:59:43,16.562
2016-10-20 18:59:59,15.266
2016-10-20 19:00:15,18.028
2016-10-20 19:00:33,17.662
2016-10-20 19:00:50,15.063
2016-10-20 19:01:05,16.09
2016-10-20 19:01:21,6.246
2016-10-20 19:01:28,17.545
2016-10-20 19:01:45,14.11
2016-10-20 19:01:59,9.165
2016-10-20 19:02:08,13.744
2016-10-20 19:02:22,5.195
2016-10-20 19:02:27,6.559
2016-10-20 19:02:34,15.622
2016-10-20 19:02:50,9.454
2016-10-20 19:02:59,14.48
2016-10-20 19:03:14,14.957
2016-10-20 19:03:29,11.964
2016-10-20 19:03:41,17.394
2016-10-20 19:03:58,4.128
2016-10-20 19:04:02,14.833
2016-10-20 19:04:17,14.493
